,Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
851,1,5,2,9853,1,1,122.0,1,19,19,4,5,112.6,1,0,0,1,0,0,22,0,0,6,10,5,12.6,0,0,6,9,4,11.25,0,12.7,3.7,-1.7,Enrolled
852,1,1,1,9238,1,1,164.0,1,19,19,9,9,149.0,1,0,0,1,0,1,23,0,0,6,7,6,13.857142857142858,0,0,6,6,6,14.166666666666666,0,10.8,1.4,1.74,Graduate
853,2,39,1,9500,1,1,133.1,1,1,19,9,9,120.0,0,0,0,1,1,1,34,0,0,8,8,7,13.842857142857143,0,0,8,8,7,13.842857142857143,0,12.7,3.7,-1.7,Graduate
856,1,1,1,9238,1,1,127.0,1,1,19,4,3,141.7,1,0,0,1,1,0,22,0,0,6,6,6,12.666666666666666,0,0,6,6,6,13.833333333333334,0,10.8,1.4,1.74,Dropout
859,1,1,1,9773,1,1,108.0,1,34,38,0,3,105.9,0,0,0,1,1,0,20,0,0,6,11,4,10.75,0,0,6,13,2,10.0,0,7.6,2.6,0.32,Dropout
860,1,18,2,9119,1,1,136.0,1,1,2,5,4,122.7,1,0,0,1,1,0,18,0,0,5,7,5,12.6,0,0,5,9,3,13.25,0,13.9,-0.3,0.79,Dropout
863,1,39,1,9670,1,1,133.1,1,38,19,9,8,122.9,0,0,1,0,1,0,25,0,0,6,7,3,14.0,0,0,6,9,2,14.5,0,13.9,-0.3,0.79,Dropout
865,1,1,4,9500,1,1,128.0,1,1,1,4,10,125.2,1,0,0,1,1,1,18,0,0,7,7,7,14.682857142857143,0,0,8,9,8,15.055555555555555,0,12.4,0.5,1.79,Graduate
868,1,18,1,9254,1,1,137.0,1,19,19,4,5,126.9,0,0,0,1,1,0,20,0,0,6,7,6,13.857142857142858,0,0,6,7,5,12.8,0,16.2,0.3,-0.92,Graduate
870,1,1,1,9254,1,1,125.0,1,1,1,191,193,114.5,0,0,0,1,1,0,20,0,0,6,8,6,13.142857142857142,0,0,6,7,6,12.5,0,8.9,1.4,3.51,Graduate
871,2,39,1,9119,1,1,120.0,1,34,34,0,0,140.0,1,0,0,1,1,0,33,0,0,5,14,1,18.0,0,0,5,9,2,13.0,0,9.4,-0.8,-3.12,Dropout
873,1,1,1,9556,1,1,135.0,1,1,1,1,1,131.5,0,0,0,1,1,1,21,0,0,7,14,5,11.2,0,0,8,11,6,11.583333333333334,0,16.2,0.3,-0.92,Enrolled
874,1,1,1,9003,1,1,148.0,1,1,19,194,194,143.5,0,0,1,1,1,0,18,0,0,6,6,5,15.0,0,0,6,8,4,14.5,0,8.9,1.4,3.51,Graduate
875,1,1,1,9500,1,1,138.0,1,38,38,9,9,126.8,0,0,0,1,1,1,19,0,0,7,9,7,14.244444444444444,0,0,8,12,8,12.233333333333333,0,15.5,2.8,-4.06,Graduate
876,1,17,1,9070,1,1,119.0,1,38,19,9,9,115.2,0,0,0,1,1,1,21,0,0,6,8,4,11.5,0,0,6,7,5,11.0,0,15.5,2.8,-4.06,Dropout
878,1,1,2,9670,1,1,135.0,1,19,19,7,10,121.4,0,0,0,1,1,0,19,0,0,5,7,3,12.333333333333334,0,0,5,5,5,11.6,0,9.4,-0.8,-3.12,Graduate
880,1,17,2,9070,1,1,126.0,1,38,38,9,8,129.9,1,0,0,1,1,1,19,0,0,6,6,6,13.666666666666666,0,0,6,7,5,13.2,0,12.4,0.5,1.79,Graduate
884,1,16,2,9500,1,1,127.0,1,2,38,4,9,119.0,1,0,0,1,0,1,19,0,0,8,12,7,12.599999999999998,0,0,8,12,7,12.599999999999998,0,10.8,1.4,1.74,Graduate
886,1,16,6,9773,1,1,136.0,1,38,14,0,0,129.7,1,0,0,1,0,0,21,0,0,6,6,6,13.166666666666666,0,0,6,6,6,13.0,0,7.6,2.6,0.32,Graduate
888,1,1,1,9500,1,1,136.0,1,19,19,4,7,136.0,0,0,0,1,0,1,19,0,0,7,7,7,14.014285714285714,0,0,8,8,8,15.35,0,13.9,-0.3,0.79,Graduate
889,1,1,3,9773,1,1,145.0,1,38,38,9,5,133.1,0,0,0,1,0,1,20,0,0,6,9,4,13.0,0,0,6,13,4,11.25,0,10.8,1.4,1.74,Graduate
890,1,1,2,9773,1,1,159.0,1,1,19,9,9,151.3,1,0,0,1,0,0,18,0,0,6,6,6,14.0,0,0,6,6,6,14.666666666666666,0,10.8,1.4,1.74,Graduate
892,1,43,1,9500,1,1,150.0,1,37,37,9,9,130.8,1,0,0,1,0,1,21,0,0,8,8,7,14.428571428571429,0,0,8,8,7,14.428571428571429,0,12.7,3.7,-1.7,Graduate
895,2,44,1,9991,0,39,130.0,1,1,37,4,9,130.0,0,0,0,0,0,0,21,0,0,5,12,3,11.333333333333334,0,0,5,10,1,13.0,0,15.5,2.8,-4.06,Dropout
896,1,17,1,9773,1,1,120.0,1,37,37,5,5,125.3,0,0,0,1,0,0,18,0,0,6,9,6,12.5,0,0,6,9,6,13.0,0,7.6,2.6,0.32,Graduate
898,1,1,1,9254,1,1,112.0,1,38,19,9,5,113.8,1,0,0,1,0,0,21,0,0,6,10,6,10.833333333333334,0,0,6,10,4,11.0,0,7.6,2.6,0.32,Enrolled
899,1,17,1,9670,1,1,128.0,1,19,19,7,7,124.4,0,0,0,1,0,1,19,0,0,6,6,6,13.0,0,0,6,6,6,14.0,0,13.9,-0.3,0.79,Graduate
900,1,17,1,9147,1,1,114.0,1,19,19,9,7,107.7,0,0,0,1,0,0,19,0,0,5,7,2,10.0,0,0,5,11,2,14.0,0,10.8,1.4,1.74,Dropout
901,1,43,2,9238,1,1,118.0,1,38,38,5,5,110.0,0,0,0,1,0,1,19,0,0,6,8,6,11.428571428571429,0,0,6,11,5,11.2,0,10.8,1.4,1.74,Graduate
902,1,7,1,9500,1,3,130.0,1,37,38,7,7,130.0,1,0,0,1,0,0,27,0,0,8,8,8,12.8875,0,0,8,8,8,12.8875,0,9.4,-0.8,-3.12,Graduate
903,1,1,2,9500,1,1,145.0,1,37,1,9,4,138.8,1,0,0,1,0,1,18,0,0,7,7,6,12.95,0,0,7,7,6,12.95,0,7.6,2.6,0.32,Graduate
905,1,1,3,9500,1,1,114.0,1,1,1,5,5,114.5,1,0,0,1,0,1,19,0,0,7,7,7,13.094285714285714,0,0,8,8,8,12.55,0,12.4,0.5,1.79,Graduate
907,1,17,2,9238,1,1,145.0,1,19,38,7,6,128.6,1,0,0,1,0,1,19,0,0,6,12,5,11.714285714285714,0,0,6,11,6,11.0,0,12.7,3.7,-1.7,Graduate
908,1,17,5,9238,1,1,130.0,1,19,1,5,5,130.0,1,0,0,1,0,0,20,0,0,6,8,4,11.25,0,0,6,15,3,10.0,0,9.4,-0.8,-3.12,Enrolled
910,1,1,1,9853,1,1,145.0,1,37,37,9,5,146.8,0,0,0,1,0,0,18,0,0,6,6,6,13.166666666666666,0,0,6,6,6,13.333333333333334,0,7.6,2.6,0.32,Graduate
911,1,1,1,9085,1,1,128.0,1,19,1,5,4,135.7,1,0,0,1,0,0,20,0,0,5,7,4,12.75,0,0,5,5,5,13.4,0,10.8,1.4,1.74,Graduate
912,2,39,1,9991,0,1,140.0,1,37,37,9,9,120.0,0,0,0,0,0,0,38,0,0,5,6,5,10.6,0,0,5,9,2,11.0,0,12.7,3.7,-1.7,Dropout
913,4,39,1,8014,0,1,130.0,1,37,37,9,7,138.0,0,0,0,1,0,0,42,0,0,6,8,5,11.2,0,0,6,6,6,12.0,0,8.9,1.4,3.51,Graduate
915,1,15,1,9773,1,1,120.0,26,19,19,4,5,120.0,1,0,0,1,0,0,22,1,0,6,6,6,13.0,0,0,6,6,6,13.666666666666666,0,12.4,0.5,1.79,Graduate
918,2,44,1,9003,1,39,160.0,1,37,38,9,4,160.0,0,0,0,1,0,0,43,0,0,6,8,6,14.166666666666666,0,0,6,9,6,15.0,0,15.5,2.8,-4.06,Graduate
919,6,39,1,8014,0,1,133.1,1,37,1,9,7,114.8,0,0,0,1,0,1,41,0,0,6,10,5,12.833333333333334,0,0,6,6,6,12.333333333333334,0,13.9,-0.3,0.79,Graduate
920,4,39,1,8014,0,19,140.0,1,37,37,9,3,131.0,0,0,0,1,0,1,29,0,0,6,11,4,11.75,0,0,6,9,5,10.4,0,10.8,1.4,1.74,Graduate
921,1,39,1,8014,0,1,133.1,1,37,37,9,9,97.0,0,0,0,1,0,1,35,0,0,6,8,6,10.833333333333334,0,0,6,7,6,11.5,0,10.8,1.4,1.74,Graduate
922,1,17,6,9238,1,1,131.0,1,1,3,4,2,131.7,1,0,0,1,0,0,18,0,0,6,8,4,11.75,0,0,6,8,4,12.25,0,9.4,-0.8,-3.12,Dropout
923,1,39,1,9500,1,19,133.1,1,37,37,9,6,120.0,0,0,0,0,0,1,39,0,0,7,14,3,11.5,0,0,7,9,2,10.5,0,16.2,0.3,-0.92,Dropout
924,4,39,1,9991,0,1,120.0,1,37,37,9,9,110.0,0,0,0,1,0,0,37,0,0,5,14,2,10.0,0,0,5,7,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled
925,1,39,1,9500,1,1,130.0,1,37,37,9,7,133.0,1,0,0,1,0,1,26,0,0,7,7,6,13.7,0,0,7,7,6,13.7,0,7.6,2.6,0.32,Graduate
930,1,1,5,9147,1,1,125.0,1,37,38,7,7,122.2,1,0,0,1,0,0,18,0,0,5,9,1,11.0,0,0,5,9,2,12.5,0,7.6,2.6,0.32,Enrolled
931,1,1,1,9853,1,1,115.0,1,19,38,9,9,108.0,0,0,0,1,0,1,19,0,0,7,10,6,13.0,0,0,7,7,7,13.285714285714286,0,12.4,0.5,1.79,Graduate
933,2,39,1,9147,1,1,140.0,1,37,37,9,9,127.7,1,0,0,1,0,0,31,0,0,5,8,3,11.0,0,0,5,9,2,11.5,0,7.6,2.6,0.32,Dropout
934,1,39,1,9500,1,1,100.0,1,3,1,2,5,121.3,1,0,0,1,0,0,34,0,0,8,11,7,11.705714285714285,0,0,8,11,7,11.705714285714285,0,10.8,1.4,1.74,Enrolled
936,1,39,1,9500,1,19,133.1,1,38,38,9,9,114.8,0,0,0,1,0,0,28,0,0,7,15,1,10.75,0,0,7,10,1,10.0,0,13.9,-0.3,0.79,Dropout
938,1,1,1,9773,1,1,145.0,1,19,38,4,10,131.7,1,0,0,1,0,0,18,0,0,6,7,6,12.666666666666666,0,0,6,8,4,12.25,0,7.6,2.6,0.32,Enrolled
939,4,39,1,8014,0,19,133.1,1,37,37,90,7,110.0,0,0,0,0,0,0,31,0,0,6,8,5,11.4,0,0,6,9,3,11.0,0,9.4,-0.8,-3.12,Dropout
940,1,1,3,9773,1,1,110.0,1,19,19,5,5,105.5,1,0,0,1,0,0,19,0,0,6,6,6,13.0,0,0,6,8,5,12.4,0,12.4,0.5,1.79,Graduate
941,1,1,1,9238,1,1,128.0,1,37,19,9,4,127.3,1,0,0,1,0,1,19,0,0,6,8,6,14.0,0,0,6,8,6,12.285714285714286,0,16.2,0.3,-0.92,Graduate
944,1,16,1,9556,1,1,137.0,1,37,37,9,7,122.7,1,0,0,1,0,1,18,0,0,7,7,7,15.285714285714286,0,0,8,8,8,16.075,0,12.4,0.5,1.79,Graduate
945,1,17,2,9254,1,1,123.0,1,37,37,7,7,113.9,1,0,0,1,0,0,18,0,0,6,6,6,13.166666666666666,0,0,6,6,6,12.666666666666666,0,11.1,0.6,2.02,Graduate
950,1,39,1,9991,0,1,130.0,1,37,37,9,9,120.2,1,0,0,1,1,0,30,0,0,5,7,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
952,1,44,1,9003,1,39,140.0,1,1,19,4,8,140.0,0,0,0,1,1,0,20,0,0,6,7,6,13.571428571428571,0,0,6,6,6,12.666666666666666,0,12.4,0.5,1.79,Graduate
955,1,17,4,9670,1,1,125.0,1,1,1,4,90,125.4,1,0,0,1,1,0,19,0,0,5,6,3,13.333333333333334,0,0,5,5,1,11.0,0,7.6,2.6,0.32,Dropout
956,1,17,1,9773,1,1,130.0,1,19,37,9,9,140.2,0,0,0,1,1,1,19,0,0,6,6,6,12.0,0,0,6,7,6,11.666666666666666,0,16.2,0.3,-0.92,Graduate
957,1,1,3,9773,1,1,115.0,1,38,1,9,4,116.1,1,0,0,1,1,0,19,0,0,6,6,6,12.5,0,0,6,7,5,13.0,0,12.4,0.5,1.79,Graduate
958,1,1,1,9147,1,1,150.0,1,1,19,5,5,137.8,1,0,0,1,1,1,19,0,0,5,6,5,13.2,0,0,5,6,5,12.666666666666666,0,16.2,0.3,-0.92,Graduate
962,1,1,1,9130,1,1,133.0,1,3,1,2,4,126.0,0,0,0,1,1,0,18,0,0,5,7,3,13.666666666666666,0,0,5,5,5,13.2,0,7.6,2.6,0.32,Graduate
964,1,1,1,9773,1,1,121.0,1,1,3,3,7,113.0,1,0,0,1,1,1,18,0,0,6,7,6,11.666666666666666,0,0,6,12,5,10.2,0,12.4,0.5,1.79,Graduate
965,1,44,1,9003,1,39,120.0,1,4,1,2,8,120.0,0,0,0,1,1,0,21,0,0,6,9,5,13.4,0,0,6,9,5,12.4,0,8.9,1.4,3.51,Graduate
969,1,39,1,9119,1,1,150.0,1,1,38,3,5,120.0,0,0,0,1,1,0,24,0,0,5,6,3,10.666666666666666,0,0,5,9,2,10.5,0,15.5,2.8,-4.06,Enrolled
970,1,43,1,9670,1,1,130.0,1,34,34,0,0,114.8,0,0,0,1,1,0,25,0,0,5,5,4,13.75,0,0,5,5,4,14.75,0,7.6,2.6,0.32,Graduate
973,2,43,1,9853,1,1,110.0,1,37,37,7,7,100.0,0,0,0,1,1,0,40,0,0,2,4,1,16.0,0,0,4,5,4,15.5,0,13.9,-0.3,0.79,Graduate
975,1,17,3,9119,1,1,120.0,1,1,19,9,3,116.9,1,0,1,0,1,0,18,0,0,5,10,3,12.0,0,0,5,8,3,10.333333333333334,0,8.9,1.4,3.51,Enrolled
978,1,39,1,9991,0,19,133.1,1,19,37,7,5,155.5,1,0,1,0,1,0,39,0,0,5,6,5,10.6,0,0,5,7,5,14.666666666666666,0,10.8,1.4,1.74,Dropout
981,2,39,1,9991,0,1,100.0,1,19,19,4,4,113.0,0,0,0,1,1,1,41,0,0,5,9,4,11.0,0,0,5,6,5,11.4,0,8.9,1.4,3.51,Enrolled
982,1,1,1,9773,1,1,134.0,1,1,38,4,5,122.8,0,0,0,1,1,0,18,0,0,6,6,6,12.0,0,0,6,6,6,12.5,0,12.7,3.7,-1.7,Graduate
983,2,39,1,9991,0,1,130.0,1,38,38,9,3,145.6,0,0,0,1,1,0,34,0,0,5,10,4,11.75,0,0,5,10,4,10.833333333333334,0,13.9,-0.3,0.79,Enrolled
984,1,1,1,9147,1,1,128.0,1,1,1,2,10,116.5,0,0,0,1,1,0,19,0,0,5,8,2,10.0,0,0,5,8,1,16.0,0,7.6,2.6,0.32,Dropout
985,1,1,1,9500,1,1,154.0,1,19,19,3,3,142.0,0,0,0,1,1,0,19,0,0,8,8,7,13.714285714285714,0,0,8,8,7,13.714285714285714,0,12.7,3.7,-1.7,Graduate
986,1,7,1,9003,1,4,150.0,1,1,1,4,6,150.0,0,0,0,1,1,0,28,0,0,6,14,6,14.875,0,0,6,12,6,15.8,0,16.2,0.3,-0.92,Graduate
988,1,1,1,9238,1,1,127.0,1,2,2,3,4,115.8,1,0,0,1,1,0,19,0,0,6,11,3,12.0,0,0,6,12,2,10.0,0,11.1,0.6,2.02,Dropout
989,1,17,2,9085,1,1,133.1,1,19,38,9,1,100.0,1,0,1,0,1,0,19,0,0,6,10,5,12.5,0,0,6,19,2,13.5,0,12.4,0.5,1.79,Dropout
990,1,17,1,9500,1,1,130.0,1,1,3,9,2,128.6,1,0,0,1,0,0,18,0,0,7,7,7,14.728571428571428,0,0,8,11,8,16.327272727272728,0,16.2,0.3,-0.92,Graduate
991,1,1,1,9130,1,1,135.0,1,3,3,2,2,137.1,1,0,0,1,0,0,18,0,0,6,8,6,12.0,0,0,6,8,5,14.8,0,12.4,0.5,1.79,Graduate
992,1,1,1,9773,1,1,143.0,1,1,3,3,3,149.0,1,0,0,1,0,0,18,0,0,6,8,6,11.428571428571429,0,0,6,7,6,11.0,0,11.1,0.6,2.02,Dropout
995,1,39,1,8014,0,1,130.0,1,37,37,9,8,103.5,0,0,0,1,0,1,33,0,0,6,6,6,14.166666666666666,0,0,6,6,6,14.333333333333334,0,12.7,3.7,-1.7,Graduate
996,1,1,3,9500,1,1,113.0,1,3,1,134,135,107.8,1,0,0,1,0,1,20,0,0,7,10,5,14.46,0,0,7,8,6,13.55,0,12.4,0.5,1.79,Enrolled
997,1,44,1,9085,1,39,130.0,6,19,1,6,4,130.0,1,0,0,1,0,0,22,1,0,6,12,5,12.8,0,0,6,19,2,11.5,0,12.4,0.5,1.79,Enrolled
998,1,17,1,9254,1,1,115.0,1,1,19,3,3,109.4,1,0,0,1,0,0,19,0,0,6,8,6,12.666666666666666,0,0,6,8,5,13.4,0,11.1,0.6,2.02,Graduate
999,1,1,3,9070,1,1,146.0,1,34,34,0,0,143.6,1,0,0,1,0,0,18,0,0,6,6,6,12.5,0,0,6,6,6,13.0,0,7.6,2.6,0.32,Dropout
1003,1,17,2,9147,1,1,122.0,1,19,19,7,7,116.1,1,0,0,1,0,1,19,0,0,5,8,5,11.2,0,0,5,5,3,11.0,0,12.4,0.5,1.79,Graduate
1004,1,17,2,9238,1,1,136.0,1,1,3,3,4,126.6,1,0,0,1,0,0,18,0,0,6,6,6,16.5,0,0,6,7,6,17.428571428571427,0,11.1,0.6,2.02,Dropout
1006,1,17,6,9500,1,1,139.0,1,37,37,9,6,133.5,1,0,0,1,0,1,18,0,0,8,8,7,15.228571428571428,0,0,8,8,7,15.228571428571428,0,12.7,3.7,-1.7,Graduate
1008,1,1,1,9500,1,1,165.0,1,19,37,5,5,142.3,0,0,0,1,0,1,18,0,0,8,8,7,14.428571428571429,0,0,8,8,7,14.428571428571429,0,12.7,3.7,-1.7,Graduate
1009,1,17,3,9670,1,1,122.0,1,1,38,3,3,114.3,1,0,0,1,0,0,18,0,0,6,8,6,13.875,0,0,6,7,6,13.714285714285714,0,11.1,0.6,2.02,Graduate
1010,1,1,2,9500,1,1,135.0,1,19,19,9,10,122.9,1,0,0,1,0,0,18,0,0,7,10,7,13.128,0,0,8,13,6,13.193333333333332,0,15.5,2.8,-4.06,Graduate
1011,1,17,1,9500,1,1,128.0,1,19,1,4,3,117.2,1,0,0,1,0,0,20,0,0,7,9,6,11.605,0,0,8,10,7,12.4125,0,16.2,0.3,-0.92,Graduate
1012,1,17,1,9147,1,1,139.0,1,1,38,4,5,152.0,0,0,0,1,0,1,18,0,0,5,5,5,14.6,0,0,5,8,5,12.0,0,12.7,3.7,-1.7,Graduate
1014,1,18,2,9147,1,1,102.0,1,37,38,191,143,101.7,1,0,0,1,0,1,20,0,0,5,6,5,11.8,0,0,5,6,5,11.6,0,8.9,1.4,3.51,Graduate
1015,1,17,1,9254,1,1,116.0,1,19,19,9,8,119.9,1,0,0,1,0,0,20,0,0,6,6,6,12.333333333333334,0,0,6,6,6,12.333333333333334,0,12.4,0.5,1.79,Graduate
1019,1,17,3,9773,1,1,132.0,1,1,1,4,9,124.3,1,0,1,1,0,1,19,0,0,6,6,6,11.833333333333334,0,0,6,7,6,12.285714285714286,0,15.5,2.8,-4.06,Graduate
1020,1,1,2,9500,1,1,126.0,1,1,38,4,7,124.3,1,0,0,1,0,1,20,0,0,8,8,8,12.98125,0,0,8,8,8,12.98125,0,9.4,-0.8,-3.12,Graduate
1022,1,43,2,9500,1,1,120.0,1,41,3,2,2,112.7,0,0,0,1,0,0,21,0,0,8,12,6,11.68,0,0,8,12,6,11.68,0,10.8,1.4,1.74,Graduate
1023,1,17,1,9070,1,1,116.0,1,38,38,9,9,123.7,0,0,0,1,0,0,20,0,0,6,6,6,14.5,0,0,6,7,6,13.5,0,11.1,0.6,2.02,Graduate
1024,1,18,2,9853,1,1,111.0,1,38,38,191,171,105.8,1,0,0,1,0,0,19,0,0,7,7,7,13.142857142857142,0,0,7,8,7,12.857142857142858,0,8.9,1.4,3.51,Graduate
1025,1,17,3,9085,1,1,128.0,1,1,19,4,90,124.2,0,0,0,0,0,0,21,0,0,5,8,2,11.5,0,0,5,7,2,10.5,0,7.6,2.6,0.32,Dropout
1026,1,1,1,9085,1,1,123.0,1,30,19,4,90,122.3,0,0,0,1,0,0,18,0,0,5,6,5,14.2,0,0,5,7,5,11.8,0,7.6,2.6,0.32,Graduate
1027,1,1,5,9254,1,1,131.0,1,19,37,9,9,123.7,0,0,0,1,0,1,19,0,0,6,8,5,11.666666666666666,0,0,6,7,5,12.2,0,8.9,1.4,3.51,Graduate
1028,1,17,2,9500,1,1,135.0,1,19,19,9,4,129.8,1,0,0,1,0,0,18,0,0,7,8,7,13.175,0,0,8,8,8,14.875,0,13.9,-0.3,0.79,Graduate
1029,1,1,4,9500,1,1,136.0,1,1,1,9,9,123.8,1,0,0,1,0,1,19,0,0,8,8,7,13.314285714285717,0,0,8,8,7,13.314285714285717,0,12.7,3.7,-1.7,Graduate
1030,1,1,2,9147,1,1,132.0,1,1,19,4,3,126.4,1,0,0,1,0,1,18,0,0,5,13,3,10.6,0,0,5,12,3,10.5,0,13.9,-0.3,0.79,Graduate
1031,1,1,1,9853,1,1,120.0,1,19,37,5,7,115.1,0,0,0,1,0,1,18,0,0,6,11,4,12.0,0,0,6,8,4,10.75,0,15.5,2.8,-4.06,Enrolled
1032,1,1,1,9773,1,1,144.0,1,37,37,8,8,138.4,0,0,0,1,0,0,18,0,0,6,7,6,13.428571428571429,0,0,6,7,6,14.142857142857142,0,13.9,-0.3,0.79,Graduate
1033,1,17,1,9085,1,1,129.0,1,1,37,9,9,118.2,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,8,5,15.571428571428571,0,10.8,1.4,1.74,Graduate
1035,1,1,3,9070,1,1,125.0,1,1,38,9,7,118.0,0,0,0,1,0,1,18,0,0,6,6,6,14.333333333333334,0,0,6,7,6,14.0,0,11.1,0.6,2.02,Enrolled
1037,1,1,1,9238,1,1,154.0,1,1,3,4,2,164.9,0,0,0,1,0,0,18,0,0,6,6,6,14.0,0,0,6,6,6,13.166666666666666,0,10.8,1.4,1.74,Graduate
1039,1,1,1,9853,1,1,124.0,1,3,1,2,5,121.6,0,0,0,1,0,0,18,0,0,6,9,5,12.333333333333334,0,0,6,10,5,10.6,0,15.5,2.8,-4.06,Enrolled
1043,1,1,6,9500,1,1,133.0,1,38,38,9,9,128.8,1,0,0,1,0,1,18,0,0,7,11,6,11.994444444444444,0,0,8,11,7,12.43142857142857,0,15.5,2.8,-4.06,Graduate
1044,1,1,5,9254,1,1,126.0,1,19,19,4,7,116.6,1,0,0,1,0,0,19,0,0,6,9,5,11.6,0,0,6,12,5,12.2,0,13.9,-0.3,0.79,Graduate
1046,1,1,3,9773,1,1,175.0,1,3,38,2,10,157.5,1,0,0,1,0,0,19,0,0,6,8,6,13.166666666666666,0,0,6,7,6,13.166666666666666,0,10.8,1.4,1.74,Dropout
1047,1,1,6,9500,1,1,141.0,1,2,1,4,4,136.3,1,0,0,1,0,0,19,0,0,8,8,7,14.1,0,0,8,8,7,14.1,0,10.8,1.4,1.74,Graduate
1048,1,1,1,9500,1,1,133.0,1,1,19,9,6,121.5,1,0,0,1,0,1,20,0,0,7,8,6,12.396666666666668,0,0,8,9,7,12.94285714285714,0,11.1,0.6,2.02,Graduate
1049,1,1,1,9500,1,1,143.0,1,38,38,5,5,133.9,0,0,0,1,0,0,18,0,0,7,7,7,15.014285714285714,0,0,8,8,8,16.0875,0,12.4,0.5,1.79,Graduate
1051,1,17,2,9500,1,1,134.0,1,19,37,4,7,133.5,1,0,0,1,0,0,19,0,0,7,8,7,14.05,0,0,8,8,8,15.1,0,13.9,-0.3,0.79,Graduate
1052,1,17,3,9500,1,1,138.0,1,3,3,4,5,130.0,1,0,0,1,0,0,18,0,0,7,8,7,14.85,0,0,8,8,8,15.2,0,13.9,-0.3,0.79,Dropout
1053,1,44,1,9085,1,39,140.0,1,3,3,2,2,140.0,1,0,0,1,0,0,19,0,0,6,10,6,13.0,0,0,6,19,5,13.0,0,12.4,0.5,1.79,Graduate
1054,1,1,2,9500,1,1,142.0,1,37,37,9,7,132.7,1,0,0,1,0,1,19,0,0,7,8,7,14.7875,0,0,8,8,8,15.8625,0,13.9,-0.3,0.79,Graduate
1055,1,1,1,9500,1,1,118.0,1,19,19,5,7,117.8,0,0,0,1,0,1,19,0,0,7,7,7,13.7,0,0,8,9,7,14.671428571428574,0,12.4,0.5,1.79,Graduate
1056,1,1,2,9500,1,1,131.0,1,1,37,4,4,126.1,1,0,0,1,0,1,19,0,0,7,7,7,12.495714285714286,0,0,8,9,7,12.242857142857144,0,11.1,0.6,2.02,Dropout
1057,1,1,1,9500,1,1,130.0,1,1,38,1,7,120.0,0,0,0,1,0,0,19,0,0,7,7,6,14.566666666666668,0,0,7,7,6,14.566666666666668,0,7.6,2.6,0.32,Graduate
1058,1,39,1,9670,1,12,133.1,1,1,19,1,5,100.0,1,0,1,0,0,0,25,0,0,5,5,5,11.2,0,0,5,5,4,11.25,0,9.4,-0.8,-3.12,Dropout
1059,1,1,1,9500,1,1,130.0,1,19,19,4,10,116.8,0,0,0,1,0,0,20,0,0,8,8,7,12.685714285714283,0,0,8,8,7,12.685714285714283,0,12.7,3.7,-1.7,Graduate
1062,1,39,1,8014,0,1,130.0,1,37,11,9,10,131.5,0,0,0,1,0,0,27,0,0,6,8,5,11.0,0,0,6,7,6,11.166666666666666,0,11.1,0.6,2.02,Graduate
1063,1,1,1,9500,1,1,149.0,1,19,1,4,4,134.8,0,0,0,1,0,0,18,0,0,8,8,8,14.445,0,0,8,8,8,14.445,0,9.4,-0.8,-3.12,Graduate
1064,1,1,1,9853,1,1,163.0,1,19,1,5,10,146.6,1,0,1,1,0,0,18,0,0,6,9,5,13.6,0,0,6,10,4,11.75,0,9.4,-0.8,-3.12,Enrolled
1066,1,1,6,9500,1,1,145.0,1,38,37,5,6,127.5,1,0,0,1,0,1,19,0,0,7,7,6,13.416666666666666,0,0,7,7,6,13.416666666666666,0,7.6,2.6,0.32,Graduate
1068,1,43,1,9500,1,1,128.0,1,1,19,9,8,100.0,1,0,0,1,0,0,20,0,0,7,8,7,13.1,0,0,8,8,8,14.8125,0,13.9,-0.3,0.79,Graduate
1069,1,1,2,9670,1,1,111.0,1,19,19,9,9,114.2,1,0,0,1,0,0,18,0,0,6,9,4,13.2,0,0,6,10,5,12.8,0,12.4,0.5,1.79,Graduate
1070,1,1,1,9500,1,1,140.0,1,1,1,4,4,123.5,1,0,0,1,0,1,19,0,0,8,8,8,14.75,0,0,8,8,8,14.75,0,9.4,-0.8,-3.12,Graduate
1072,1,1,1,9853,1,1,145.0,1,38,37,5,5,142.2,0,0,0,1,0,0,19,0,0,6,9,4,12.5,0,0,6,9,5,12.5,0,9.4,-0.8,-3.12,Enrolled
